,DAILY_STRESS,FLOW,DAILY_SHOUTING,WEEKLY_MEDITATION,AGE,GENDER,WEIGHTED_SCORE
2979,5,4,5,0,Less than 20,Male,63
2980,2,1,1,5,Less than 20,Male,75
2981,1,5,4,10,Less than 20,Male,87
2982,4,2,2,2,36 to 50,Female,72
2983,1,3,4,1,Less than 20,Male,64
2984,1,1,2,10,Less than 20,Female,73
2985,1,7,5,4,Less than 20,Female,88
2986,0,0,0,0,51 or more,Female,70
2987,1,2,5,2,Less than 20,Female,51
2988,5,2,10,2,Less than 20,Female,16
2989,2,3,2,3,Less than 20,Male,80
2990,1,1,2,10,Less than 20,Female,73
2991,1,1,1,0,Less than 20,Male,70
2992,5,1,10,1,Less than 20,Male,8
2993,5,3,0,10,Less than 20,Male,101
2994,2,7,0,7,Less than 20,Male,126
2995,4,1,0,3,51 or more,Male,80
2996,1,5,3,8,Less than 20,Male,92
2997,1,3,3,2,Less than 20,Female,72
2998,1,0,1,2,Less than 20,Female,65
2999,5,2,10,10,Less than 20,Female,24
3000,4,3,10,10,Less than 20,Male,31
3001,2,4,6,5,Less than 20,Female,61
3002,5,5,5,0,Less than 20,Male,70
3003,2,7,2,7,Less than 20,Female,112
3004,3,4,3,7,Less than 20,Female,84
3005,1,1,1,0,Less than 20,Male,70
3006,3,1,1,4,Less than 20,Male,74
3007,5,0,10,0,Less than 20,Male,0
3008,3,2,3,2,Less than 20,Female,65
3009,3,3,8,8,Less than 20,Female,43
3010,3,3,0,2,21 to 35,Male,93
3011,4,2,10,5,Less than 20,Female,19
3012,5,3,10,10,Less than 20,Female,31
3013,0,8,0,2,21 to 35,Female,128
3014,5,2,6,10,21 to 35,Male,52
3015,3,3,0,3,Less than 20,Male,94
3016,2,3,2,8,21 to 35,Female,85
3017,1,4,1,5,21 to 35,Male,96
3018,4,7,1,5,21 to 35,Female,117
3019,3,0,5,5,21 to 35,Female,40
3020,3,0,5,5,21 to 35,Female,40
3021,3,1,0,3,51 or more,Male,80
3022,5,0,10,2,Less than 20,Male,2
3023,0,0,0,0,Less than 20,Male,70
3024,5,1,4,6,Less than 20,Female,55
3025,2,2,1,5,21 to 35,Female,82
3026,5,4,1,1,Less than 20,Male,92
3027,4,7,6,7,36 to 50,Female,84
3028,4,1,10,0,21 to 35,Female,7
3029,3,4,4,3,21 to 35,Female,73
3030,5,1,1,1,36 to 50,Female,71
3031,3,2,1,3,51 or more,Male,80
3032,5,1,1,1,36 to 50,Female,71
3033,1,8,2,6,21 to 35,Female,118
3034,3,6,2,1,21 to 35,Female,99
3035,1,5,0,6,21 to 35,Female,111
3036,3,4,7,10,21 to 35,Female,59
3037,5,1,1,8,21 to 35,Female,78
3038,3,5,2,3,21 to 35,Female,94
3039,2,10,1,7,21 to 35,Female,140
3040,3,4,0,7,51 or more,Female,105
3041,3,3,6,8,36 to 50,Female,57
3042,3,4,3,10,51 or more,Female,87
3043,2,1,2,10,21 to 35,Female,73
3044,3,3,4,6,Less than 20,Female,69
3045,2,1,2,10,21 to 35,Female,73
3046,2,1,2,10,21 to 35,Female,73
3047,3,1,1,9,51 or more,Male,79
3048,4,1,3,10,36 to 50,Male,66
3049,3,4,2,7,36 to 50,Female,91
3050,3,0,2,3,21 to 35,Female,59
3051,3,0,2,3,21 to 35,Female,59
3052,4,1,2,7,36 to 50,Male,70
3053,2,5,5,5,51 or more,Female,75
3054,4,2,1,10,51 or more,Male,87
3055,3,1,1,3,36 to 50,Male,73
3056,3,1,1,3,21 to 35,Male,73
3057,1,1,0,3,21 to 35,Male,80
3058,4,0,6,3,Less than 20,Male,31
3059,5,0,1,3,36 to 50,Female,66
3060,4,3,2,10,21 to 35,Male,87
3061,0,3,5,3,21 to 35,Male,59
3062,3,1,3,8,21 to 35,Female,64
3063,2,3,5,10,21 to 35,Female,66
3064,2,2,0,10,Less than 20,Male,94
3065,3,6,2,5,21 to 35,Male,103
3066,5,1,1,4,Less than 20,Male,74
3067,5,1,1,4,Less than 20,Male,74
3068,5,1,1,4,Less than 20,Male,74
3069,2,8,4,5,21 to 35,Male,103
3070,4,6,1,10,21 to 35,Female,115
3071,4,6,1,10,21 to 35,Female,115
3072,2,1,4,7,36 to 50,Female,56
3073,3,0,10,2,36 to 50,Female,2
3074,1,8,2,7,36 to 50,Male,119
3075,4,3,4,1,Less than 20,Female,64
3076,4,5,2,10,21 to 35,Female,101
3077,0,2,1,7,21 to 35,Male,84
3078,0,2,1,7,21 to 35,Male,84
3079,1,2,1,6,21 to 35,Male,83
3080,5,1,0,3,21 to 35,Female,80
3081,3,1,0,10,51 or more,Male,87
3082,2,2,5,4,21 to 35,Male,53
3083,4,4,6,10,21 to 35,Female,66
3084,1,6,3,10,21 to 35,Female,101
3085,1,4,0,5,51 or more,Female,103
3086,4,4,6,10,21 to 35,Female,66
3087,3,2,3,3,36 to 50,Female,66
3088,4,1,3,5,21 to 35,Female,61
3089,3,0,4,4,36 to 50,Male,46
3090,2,2,1,2,21 to 35,Female,79
3091,4,1,4,5,51 or more,Female,54
3092,4,2,4,10,21 to 35,Female,66
3093,2,2,2,3,51 or more,Male,73
3094,2,2,2,7,Less than 20,Female,77
3095,4,7,2,6,36 to 50,Female,111
3096,4,0,4,10,21 to 35,Female,52
3097,3,2,2,10,21 to 35,Female,80
3098,4,1,10,4,21 to 35,Male,11
3099,2,2,2,7,Less than 20,Female,77
3100,2,2,2,7,Less than 20,Female,77
3101,4,1,4,1,21 to 35,Female,50
3102,2,1,1,10,21 to 35,Female,80
3103,4,2,2,10,21 to 35,Male,80
3104,5,4,5,10,21 to 35,Female,73
3105,2,3,8,10,21 to 35,Female,45
3106,5,6,5,2,21 to 35,Female,79
3107,5,4,5,1,21 to 35,Female,64
3108,2,1,1,7,21 to 35,Female,77
3109,3,4,2,3,21 to 35,Female,87
3110,0,5,0,3,21 to 35,Male,108
3111,4,1,0,5,51 or more,Female,82
3112,5,1,10,5,21 to 35,Female,12
3113,0,3,10,0,21 to 35,Female,21
3114,1,5,5,9,21 to 35,Female,79
3115,5,2,3,8,36 to 50,Female,71
3116,5,1,10,5,21 to 35,Female,12
3117,4,2,3,10,36 to 50,Female,73
3118,2,3,1,10,36 to 50,Male,94
3119,1,2,5,5,21 to 35,Female,54
3120,3,2,3,8,21 to 35,Male,71
3121,3,1,1,10,21 to 35,Male,80
3122,5,2,1,5,21 to 35,Female,82
3123,2,3,1,10,Less than 20,Female,94
3124,1,8,0,10,51 or more,Male,136
3125,1,1,1,1,51 or more,Male,71
3126,4,1,0,3,21 to 35,Female,80
3127,4,1,0,3,21 to 35,Female,80
3128,4,1,0,3,21 to 35,Female,80
3129,4,5,3,10,21 to 35,Male,94
3130,3,5,1,6,Less than 20,Female,104
3131,2,2,0,4,51 or more,Female,88
3132,5,1,2,0,51 or more,Female,63
3133,1,1,2,10,51 or more,Male,73
3134,4,2,7,6,51 or more,Male,41
3135,3,5,2,4,21 to 35,Male,95
3136,2,3,3,4,21 to 35,Female,74
3137,2,3,3,4,21 to 35,Female,74
3138,3,3,1,6,51 or more,Female,90
3139,3,3,10,4,Less than 20,Female,25
3140,3,8,0,4,21 to 35,Male,130
3141,5,5,1,5,51 or more,Female,103
3142,3,4,2,7,36 to 50,Female,91
3143,0,5,1,10,Less than 20,Male,108
3144,3,3,0,10,51 or more,Female,101
3145,0,8,0,10,36 to 50,Female,136
3146,0,7,1,10,21 to 35,Male,122
3147,2,2,3,5,21 to 35,Male,68
3148,3,3,5,5,51 or more,Male,61
3149,5,0,10,10,21 to 35,Female,10
3150,5,0,10,10,21 to 35,Female,10
3151,2,2,0,3,Less than 20,Male,87
3152,0,0,0,3,Less than 20,Male,73
3153,5,1,5,0,21 to 35,Female,42
3154,5,1,5,0,21 to 35,Female,42
3155,1,4,3,7,36 to 50,Male,84
3156,2,3,5,7,36 to 50,Female,63
3157,3,1,3,7,51 or more,Female,63
3158,3,1,3,7,51 or more,Female,63
3159,3,1,3,7,51 or more,Female,63
3160,3,1,3,7,51 or more,Female,63
3161,4,0,0,7,36 to 50,Female,77
3162,1,3,1,10,36 to 50,Female,94
3163,4,0,2,4,51 or more,Female,60
3164,1,8,3,8,51 or more,Male,113
3165,1,8,3,8,51 or more,Male,113
3166,2,3,2,1,Less than 20,Male,78
3167,2,1,3,4,21 to 35,Female,60
3168,2,1,1,7,36 to 50,Male,77
3169,3,0,1,9,21 to 35,Female,72
3170,3,3,2,5,21 to 35,Female,82
3171,2,6,1,10,51 or more,Female,115
3172,2,0,4,3,36 to 50,Female,45
3173,4,0,0,1,36 to 50,Female,71
3174,0,2,0,9,21 to 35,Male,93
3175,2,1,3,10,36 to 50,Female,66
3176,4,0,0,7,36 to 50,Female,77
3177,2,4,2,10,51 or more,Male,94
3178,5,3,0,10,Less than 20,Male,101
3179,2,6,2,5,36 to 50,Male,103
3180,5,3,0,10,Less than 20,Male,101
3181,4,3,2,3,36 to 50,Female,80
3182,2,1,2,1,51 or more,Female,64
3183,1,5,1,5,51 or more,Male,103
3184,3,2,2,2,36 to 50,Female,72
3185,3,1,2,5,21 to 35,Male,68
3186,3,1,10,1,36 to 50,Male,8
3187,3,1,10,1,36 to 50,Male,8
3188,0,3,0,10,Less than 20,Male,101
3189,3,3,2,7,36 to 50,Female,84
3190,1,1,5,6,21 to 35,Male,48
3191,4,2,2,6,21 to 35,Female,76
3192,1,6,3,8,51 or more,Female,99
3193,3,1,6,5,21 to 35,Male,40
3194,3,4,2,6,21 to 35,Female,90
3195,1,3,3,4,51 or more,Male,74
3196,3,1,0,3,21 to 35,Female,80
3197,1,3,1,10,Less than 20,Female,94
3198,2,2,3,10,Less than 20,Female,73
3199,1,2,1,5,51 or more,Male,82
3200,4,4,6,3,21 to 35,Female,59
3201,2,0,1,4,21 to 35,Female,67
3202,5,0,5,1,21 to 35,Female,36
3203,0,1,3,10,51 or more,Female,66
3204,4,2,2,6,21 to 35,Female,76
3205,3,6,4,5,Less than 20,Male,89
3206,3,4,0,10,21 to 35,Female,108
3207,5,1,9,2,Less than 20,Female,16
3208,3,10,1,6,36 to 50,Male,139
3209,1,6,2,4,Less than 20,Female,102
3210,2,6,0,4,Less than 20,Female,116
3211,3,2,5,4,Less than 20,Female,53
3212,1,5,0,10,Less than 20,Female,115
3213,2,2,2,10,Less than 20,Male,80
3214,3,6,0,7,Less than 20,Female,119
3215,3,6,0,7,Less than 20,Female,119
3216,5,3,2,2,36 to 50,Female,79
3217,5,2,2,5,36 to 50,Female,75
3218,3,4,1,4,21 to 35,Female,95
3219,2,7,3,6,Less than 20,Female,104
3220,3,5,4,8,Less than 20,Female,85
3221,4,1,2,5,Less than 20,Female,68
3222,3,5,0,10,21 to 35,Female,115
3223,4,1,7,7,Less than 20,Female,35
3224,1,8,1,10,36 to 50,Male,129
3225,1,2,1,10,21 to 35,Female,87
3226,4,0,2,10,21 to 35,Female,66
3227,5,3,4,4,36 to 50,Male,67
3228,5,3,4,4,36 to 50,Male,67
3229,5,2,8,4,21 to 35,Female,32
3230,3,3,3,6,Less than 20,Male,76
3231,1,3,5,2,36 to 50,Female,58
3232,1,4,1,7,51 or more,Female,98
3233,5,0,10,10,21 to 35,Female,10
3234,4,5,2,1,51 or more,Male,92
3235,3,1,8,3,36 to 50,Male,24
3236,4,5,2,9,36 to 50,Female,100
3237,5,5,10,8,21 to 35,Male,43
3238,2,3,3,10,51 or more,Male,80
3239,1,6,2,8,36 to 50,Female,106
3240,4,2,10,2,21 to 35,Male,16
3241,2,2,3,7,Less than 20,Female,70
3242,3,2,3,4,21 to 35,Female,67
3243,3,2,3,4,21 to 35,Female,67
3244,5,1,1,7,36 to 50,Female,77
3245,5,4,3,3,Less than 20,Female,80
3246,4,2,8,4,21 to 35,Female,32
3247,5,1,7,6,51 or more,Female,34
3248,5,0,0,3,36 to 50,Male,73
3249,5,5,1,8,36 to 50,Male,106
3250,1,2,2,2,36 to 50,Female,72
3251,3,3,3,7,21 to 35,Female,77
3252,2,4,2,8,51 or more,Male,92
3253,2,4,0,10,51 or more,Female,108
3254,5,1,5,2,21 to 35,Female,44
3255,2,3,2,3,21 to 35,Female,80
3256,2,10,5,7,21 to 35,Male,112
3257,3,4,1,3,21 to 35,Male,94
3258,2,3,0,2,36 to 50,Female,93
3259,2,1,0,4,21 to 35,Female,81
3260,4,4,3,5,21 to 35,Female,82
3261,3,2,1,1,21 to 35,Female,78
3262,3,10,7,4,21 to 35,Male,95
3263,3,3,1,7,Less than 20,Male,91
3264,2,0,2,6,21 to 35,Male,62
3265,4,1,2,7,21 to 35,Female,70
3266,2,3,3,3,36 to 50,Female,73
3267,3,2,4,5,21 to 35,Female,61
3268,3,4,0,0,36 to 50,Female,98
3269,3,4,0,0,36 to 50,Female,98
3270,1,6,3,5,21 to 35,Male,96
3271,3,6,1,4,21 to 35,Female,109
3272,4,3,3,6,21 to 35,Female,76
3273,4,8,1,3,21 to 35,Female,122
3274,2,8,3,5,21 to 35,Male,110
3275,1,3,1,3,Less than 20,Female,87
3276,5,1,1,10,36 to 50,Male,80
3277,3,2,1,6,21 to 35,Female,83
3278,3,6,3,8,51 or more,Female,99
3279,2,5,1,5,Less than 20,Female,103
3280,3,10,1,5,21 to 35,Female,138
3281,4,1,7,4,21 to 35,Female,32
3282,2,3,0,10,Less than 20,Female,101
3283,3,4,1,6,21 to 35,Female,97
3284,4,3,1,7,Less than 20,Male,91
3285,2,7,4,8,Less than 20,Female,99
3286,2,10,0,10,21 to 35,Female,150
3287,1,8,1,4,Less than 20,Male,123
3288,1,8,1,6,Less than 20,Male,125
3289,2,5,4,4,21 to 35,Female,81
3290,1,8,1,6,Less than 20,Male,125
3291,1,4,3,7,Less than 20,Female,84
3292,5,1,10,5,21 to 35,Female,12
3293,5,2,8,10,36 to 50,Female,38
3294,3,2,4,5,21 to 35,Female,61
3295,3,1,3,7,Less than 20,Female,63
3296,4,3,3,7,21 to 35,Female,77
3297,5,7,2,10,21 to 35,Male,115
3298,4,7,3,10,21 to 35,Female,108
3299,0,10,0,10,36 to 50,Male,150
3300,1,1,1,10,21 to 35,Male,80
3301,5,2,8,6,36 to 50,Male,34
3302,3,0,3,7,Less than 20,Male,56
3303,1,1,1,10,21 to 35,Male,80
3304,1,2,0,8,21 to 35,Male,92
3305,5,10,0,9,Less than 20,Female,149
3306,1,2,1,10,Less than 20,Male,87
3307,3,4,4,8,Less than 20,Male,78
3308,2,8,1,5,51 or more,Male,124
3309,3,2,1,5,21 to 35,Female,82
3310,2,5,0,10,21 to 35,Male,115
3311,2,5,0,10,21 to 35,Male,115
3312,2,5,0,10,21 to 35,Male,115
3313,2,5,0,10,21 to 35,Male,115
3314,1,1,1,10,36 to 50,Female,80
3315,4,0,2,4,36 to 50,Female,60
3316,3,2,2,7,51 or more,Female,77
3317,2,2,3,6,21 to 35,Male,69
3318,2,4,0,4,Less than 20,Male,102
3319,2,1,0,10,51 or more,Female,87
3320,2,2,1,6,21 to 35,Male,83
3321,3,5,1,9,21 to 35,Male,107
3322,3,4,1,3,36 to 50,Male,94
3323,3,5,1,8,51 or more,Female,106
3324,2,8,2,5,21 to 35,Female,117
3325,3,3,2,6,36 to 50,Female,83
3326,3,3,3,6,Less than 20,Female,76
3327,3,6,5,5,21 to 35,Male,82
3328,1,1,3,5,Less than 20,Male,61
3329,4,2,5,7,36 to 50,Female,56
3330,4,2,5,7,36 to 50,Female,56
3331,1,7,4,7,51 or more,Female,98
3332,0,2,1,10,51 or more,Male,87
3333,4,1,3,2,51 or more,Male,58
3334,4,1,3,2,51 or more,Male,58
3335,3,6,3,4,21 to 35,Female,95
3336,3,1,1,10,21 to 35,Female,80
3337,3,4,0,5,51 or more,Female,103
3338,5,0,10,3,Less than 20,Female,3
3339,5,0,10,3,Less than 20,Female,3
3340,3,8,2,3,21 to 35,Male,115
3341,3,4,5,3,21 to 35,Female,66
3342,0,3,0,10,36 to 50,Male,101
3343,4,1,6,2,21 to 35,Female,37
3344,3,1,10,10,21 to 35,Male,17
3345,5,2,2,10,51 or more,Male,80
3346,4,0,10,10,Less than 20,Male,10
3347,4,1,2,10,21 to 35,Male,73
3348,5,2,3,10,21 to 35,Female,73
3349,0,1,2,7,51 or more,Male,70
3350,2,0,4,5,21 to 35,Female,47
3351,1,10,0,2,36 to 50,Female,142
3352,3,2,4,9,21 to 35,Male,65
3353,5,1,1,1,51 or more,Female,71
3354,5,1,1,1,51 or more,Female,71
3355,5,1,10,0,51 or more,Female,7
3356,1,2,10,10,21 to 35,Male,24
3357,4,2,1,2,36 to 50,Female,79
3358,4,3,4,2,36 to 50,Female,65
3359,0,3,0,10,21 to 35,Male,101
3360,1,5,5,4,36 to 50,Male,74
3361,0,5,0,5,Less than 20,Male,110
3362,0,8,0,10,Less than 20,Male,136
3363,2,1,4,10,36 to 50,Male,59
3364,5,1,10,10,36 to 50,Male,17
3365,3,2,7,2,36 to 50,Female,37
3366,1,0,5,7,21 to 35,Female,42
3367,3,8,4,10,36 to 50,Female,108
3368,5,2,3,2,36 to 50,Female,65
3369,1,5,1,10,51 or more,Male,108
3370,3,4,1,5,51 or more,Female,96
3371,5,0,1,1,21 to 35,Male,64
3372,1,5,1,10,36 to 50,Female,108
3373,2,5,0,2,36 to 50,Female,107
3374,5,1,10,4,Less than 20,Female,11
3375,3,6,5,8,21 to 35,Female,85
3376,5,0,10,0,21 to 35,Male,0
3377,4,4,8,6,36 to 50,Female,48
3378,4,0,9,5,36 to 50,Male,12
3379,4,6,8,6,21 to 35,Female,62
3380,4,4,8,4,36 to 50,Male,46
3381,5,9,7,3,21 to 35,Female,87
3382,5,10,1,5,Less than 20,Female,138
3383,5,3,10,10,21 to 35,Female,31
3384,5,5,0,4,51 or more,Female,109
3385,3,4,2,2,51 or more,Male,86
3386,3,2,2,3,36 to 50,Female,73
3387,3,1,3,7,21 to 35,Female,63
3388,3,2,1,10,21 to 35,Male,87
3389,2,4,8,10,21 to 35,Female,52
3390,2,2,2,5,Less than 20,Male,75
3391,2,1,3,10,51 or more,Female,66
3392,4,6,2,4,Less than 20,Female,102
3393,3,4,1,7,36 to 50,Female,98
3394,3,1,1,9,36 to 50,Male,79
3395,2,3,5,10,21 to 35,Male,66
3396,1,5,0,10,51 or more,Female,115
3397,3,0,4,10,51 or more,Female,52
3398,1,8,0,10,36 to 50,Female,136
3399,2,2,4,6,21 to 35,Female,62
3400,3,6,1,7,36 to 50,Female,112
3401,4,3,9,8,21 to 35,Female,36
3402,2,0,1,1,21 to 35,Female,64
3403,1,3,2,10,36 to 50,Female,87
3404,3,6,3,8,Less than 20,Male,99
3405,1,6,0,3,51 or more,Male,115
3406,1,6,0,3,51 or more,Male,115
3407,2,10,1,8,21 to 35,Male,141
3408,5,6,10,2,21 to 35,Female,44
3409,3,4,4,10,Less than 20,Female,80
3410,1,6,3,10,51 or more,Male,101
3411,1,2,2,10,51 or more,Female,80
3412,1,0,4,10,36 to 50,Female,52
3413,2,2,10,10,Less than 20,Male,24
3414,1,4,1,10,51 or more,Female,101
3415,1,1,1,2,21 to 35,Male,72
3416,3,7,5,8,Less than 20,Female,92
3417,4,2,4,3,36 to 50,Female,59
3418,2,3,1,10,21 to 35,Female,94
3419,5,1,2,5,21 to 35,Male,68
3420,5,5,1,2,Less than 20,Male,100
3421,4,1,0,5,21 to 35,Female,82
3422,1,3,5,7,51 or more,Female,63
3423,1,3,5,7,51 or more,Female,63
3424,3,2,1,1,51 or more,Male,78
3425,1,2,10,2,21 to 35,Female,16
3426,2,1,2,2,21 to 35,Male,65
3427,3,7,7,7,21 to 35,Male,77
3428,3,6,5,5,21 to 35,Female,82
3429,3,0,0,3,51 or more,Female,73
3430,5,4,10,4,21 to 35,Female,32
3431,2,4,2,6,21 to 35,Male,90
3432,3,2,1,1,51 or more,Male,78
3433,5,3,2,8,36 to 50,Female,85
3434,2,4,0,2,21 to 35,Male,100
3435,3,4,0,5,36 to 50,Female,103
3436,3,6,0,4,Less than 20,Male,116
3437,3,6,0,4,Less than 20,Male,116
3438,1,6,1,8,51 or more,Male,113
3439,1,7,0,5,Less than 20,Female,124
3440,3,5,4,3,51 or more,Female,80
3441,5,1,2,5,21 to 35,Male,68
3442,5,1,2,5,21 to 35,Male,68
3443,3,8,4,7,21 to 35,Male,105
3444,3,6,3,4,Less than 20,Female,95
3445,5,10,3,10,36 to 50,Female,129
3446,4,0,6,2,36 to 50,Male,30
3447,1,2,2,7,Less than 20,Male,77
3448,1,2,1,6,Less than 20,Male,83
3449,5,4,1,0,21 to 35,Female,91
3450,5,2,2,3,36 to 50,Male,73
3451,5,0,4,8,21 to 35,Female,50
3452,5,4,5,9,21 to 35,Male,72
3453,1,5,1,8,21 to 35,Female,106
3454,2,1,4,10,51 or more,Female,59
3455,3,1,4,1,36 to 50,Male,50
3456,4,5,1,10,36 to 50,Female,108
3457,5,2,2,3,36 to 50,Male,73
3458,1,5,0,10,21 to 35,Female,115
3459,4,5,9,10,36 to 50,Female,52
3460,1,1,1,2,21 to 35,Male,72
3461,1,4,2,7,21 to 35,Male,91
3462,3,3,7,5,Less than 20,Female,47
3463,3,5,1,4,36 to 50,Male,102
3464,4,6,2,10,21 to 35,Male,108
3465,5,0,2,4,21 to 35,Female,60
3466,5,1,4,3,51 or more,Female,52
3467,5,0,5,1,51 or more,Female,36
3468,3,0,9,1,36 to 50,Male,8
3469,3,2,4,4,36 to 50,Female,60
3470,2,3,1,5,Less than 20,Female,89
3471,1,5,1,8,21 to 35,Female,106
3472,3,3,4,5,21 to 35,Female,68
3473,5,1,2,2,51 or more,Female,65
3474,1,4,2,7,Less than 20,Male,91
3475,2,3,0,10,36 to 50,Male,101
3476,3,2,4,4,36 to 50,Female,60
3477,1,5,1,8,21 to 35,Female,106
3478,0,10,0,10,51 or more,Female,150
3479,3,1,1,8,51 or more,Female,78
3480,0,1,2,1,51 or more,Female,64
3481,1,5,1,8,21 to 35,Female,106
3482,2,1,0,7,21 to 35,Female,84
3483,4,1,3,2,51 or more,Female,58
3484,2,4,2,10,21 to 35,Female,94
3485,5,1,0,6,21 to 35,Female,83
3486,2,4,2,10,21 to 35,Female,94
3487,2,4,2,10,21 to 35,Female,94
3488,2,2,1,6,51 or more,Female,83
3489,3,4,2,6,21 to 35,Female,90
3490,2,4,2,10,21 to 35,Female,94
3491,1,5,1,8,21 to 35,Female,106
3492,2,4,1,3,21 to 35,Female,94
3493,2,4,1,2,21 to 35,Female,93
3494,2,0,2,8,21 to 35,Female,64
3495,5,4,4,4,36 to 50,Male,74
3496,1,2,2,8,36 to 50,Female,78
3497,2,1,1,10,36 to 50,Female,80
3498,3,3,1,5,36 to 50,Male,89
3499,3,7,4,2,36 to 50,Male,93
3500,3,7,4,2,36 to 50,Male,93
3501,1,5,3,6,21 to 35,Male,90
3502,1,1,1,2,21 to 35,Male,72
3503,1,5,1,8,21 to 35,Female,106
3504,3,0,0,2,21 to 35,Female,72
3505,1,5,1,8,21 to 35,Female,106
3506,5,3,7,0,21 to 35,Female,42
3507,1,5,3,10,21 to 35,Female,94
3508,1,6,1,3,21 to 35,Female,108
3509,1,0,3,10,Less than 20,Female,59
3510,2,10,7,7,21 to 35,Female,98
3511,5,0,0,3,21 to 35,Male,73
3512,4,2,5,8,36 to 50,Male,57
3513,1,5,1,10,36 to 50,Male,108
3514,4,1,5,7,51 or more,Male,49
3515,5,1,2,6,36 to 50,Male,69
3516,3,1,7,10,36 to 50,Female,38
3517,3,6,1,7,51 or more,Female,112
3518,5,1,1,7,36 to 50,Male,77
3519,5,0,2,10,21 to 35,Female,66
3520,5,6,10,9,21 to 35,Male,51
3521,1,1,0,10,21 to 35,Female,87
3522,2,1,1,4,51 or more,Male,74
3523,2,1,1,4,51 or more,Male,74
3524,4,7,7,4,36 to 50,Male,74
3525,3,0,2,2,Less than 20,Female,58
3526,5,6,5,7,21 to 35,Female,84
3527,5,6,5,7,21 to 35,Female,84
3528,5,4,5,1,Less than 20,Female,64
3529,1,3,5,10,Less than 20,Male,66
3530,3,4,3,8,51 or more,Female,85
3531,4,2,3,3,36 to 50,Female,66
3532,1,0,9,5,Less than 20,Male,12
3533,1,2,1,4,51 or more,Female,81
3534,3,5,6,10,Less than 20,Female,73
3535,5,5,1,10,21 to 35,Female,108
3536,3,10,1,5,21 to 35,Female,138
3537,5,1,2,10,21 to 35,Female,73
3538,3,5,7,10,36 to 50,Female,66
3539,3,4,0,6,Less than 20,Female,104
3540,1,0,1,5,21 to 35,Male,68
3541,4,6,2,9,51 or more,Female,107
3542,4,6,2,9,51 or more,Female,107
3543,2,1,0,5,51 or more,Female,82
3544,4,5,10,2,21 to 35,Male,37
3545,2,3,3,10,36 to 50,Female,80
3546,3,1,3,10,51 or more,Male,66
3547,3,3,7,5,51 or more,Female,47
3548,1,3,3,2,51 or more,Female,72
3549,3,4,0,2,36 to 50,Female,100
3550,3,4,0,2,36 to 50,Female,100
3551,2,4,2,5,21 to 35,Male,89
3552,2,4,2,5,21 to 35,Male,89
3553,3,3,1,10,21 to 35,Female,94
3554,4,2,3,2,21 to 35,Male,65
3555,5,5,5,4,21 to 35,Female,74
3556,1,1,10,5,36 to 50,Male,12
3557,5,2,7,3,51 or more,Male,38
3558,2,0,1,4,21 to 35,Female,67
3559,2,0,1,4,21 to 35,Female,67
3560,2,2,2,6,36 to 50,Female,76
3561,1,8,1,2,21 to 35,Female,121
3562,2,3,5,3,Less than 20,Female,59
3563,2,2,7,7,36 to 50,Male,42
3564,1,1,1,2,21 to 35,Male,72
3565,3,3,6,8,51 or more,Female,57
3566,4,1,1,10,21 to 35,Male,80
3567,3,10,1,5,21 to 35,Female,138
3568,5,4,1,5,Less than 20,Female,96
3569,5,0,10,0,21 to 35,Female,0
3570,3,0,0,10,21 to 35,Female,80
3571,5,3,7,5,21 to 35,Female,47
3572,1,1,0,10,36 to 50,Female,87
3573,0,4,0,10,51 or more,Male,108
3574,1,5,1,10,51 or more,Male,108
3575,1,1,1,2,21 to 35,Male,72
3576,1,3,1,4,21 to 35,Male,88
3577,1,1,1,2,21 to 35,Male,72
3578,2,6,2,9,21 to 35,Female,107
3579,2,6,2,7,51 or more,Female,105
3580,0,1,1,10,51 or more,Male,80
3581,0,5,1,9,36 to 50,Male,107
3582,5,7,1,5,21 to 35,Female,117
3583,4,1,5,10,36 to 50,Male,52
3584,3,3,10,10,36 to 50,Female,31
3585,3,6,0,10,51 or more,Female,122
3586,2,9,7,7,51 or more,Female,91
3587,5,4,7,1,36 to 50,Female,50
3588,3,4,5,3,Less than 20,Male,66
3589,5,10,6,5,21 to 35,Male,103
3590,5,3,6,3,36 to 50,Female,52
3591,5,10,6,5,21 to 35,Male,103
3592,5,10,6,5,21 to 35,Male,103
3593,2,1,0,4,51 or more,Female,81
3594,5,1,0,6,21 to 35,Female,83
3595,2,2,2,6,51 or more,Female,76
3596,3,5,5,4,21 to 35,Female,74
3597,5,2,0,7,51 or more,Female,91
3598,5,3,8,2,21 to 35,Male,37
3599,1,6,0,6,51 or more,Male,118
3600,2,3,6,6,Less than 20,Male,55
3601,1,8,0,9,36 to 50,Female,135
3602,2,1,2,1,36 to 50,Female,64
3603,2,4,3,5,21 to 35,Female,82
3604,0,3,1,7,51 or more,Female,91
3605,2,5,2,7,51 or more,Female,98
3606,3,6,2,6,21 to 35,Female,104
3607,3,8,3,10,36 to 50,Male,115
3608,2,3,2,10,21 to 35,Female,87
3609,0,1,2,10,Less than 20,Male,73
3610,3,0,2,2,36 to 50,Female,58
3611,2,4,2,9,21 to 35,Male,93
3612,3,0,0,10,36 to 50,Male,80
3613,3,1,3,5,21 to 35,Female,61
3614,1,2,2,3,51 or more,Female,73
3615,2,2,2,2,36 to 50,Female,72
3616,5,4,4,10,51 or more,Female,80
